Stock A,Stock B,Lag,Baseline R-squared,Enhanced R-squared,R-squared Improvement
values,to,10s,0.06782219883730001,0.16724913595788515,0.09942693712058515
values,to,1min,0.12027251265497818,0.1246224452186564,0.004349932563678216
values,to,5min,0.10902064337400075,0.16183990152386551,0.05281925814986477
values,to,50ms,0.034068262337740185,0.23221607156235136,0.19814780922461117
values,to,100ms,0.05550017803552043,0.24371999191290616,0.18821981387738573
values,to,500ms,0.07112195280411249,0.24280731812642964,0.17168536532231715
values,to,1s,0.05198598080870631,0.222482588786717,0.1704966079780107
values,to,5s,-0.020010841736647134,0.13864628799580825,0.15865712973245538
values,to,10s,-0.04603032282200559,0.1568568990572451,0.20288722187925068
values,to,1min,-0.09945561749475984,0.11914894012933441,0.21860455762409425
values,to,5min,-0.04317664710868674,0.14040097360032888,0.18357762070901562
values,to,50ms,0.5667818742978179,0.736615976023373,0.16983410172555513
values,to,100ms,0.5675134358885034,0.7385054089273729,0.17099197303886948
values,to,500ms,0.5666543726131668,0.7280829620067304,0.16142858939356364
values,to,1s,0.5677850900368194,0.6929563586893188,0.1251712686524994
values,to,5s,0.5810015527917239,0.6143539829479722,0.033352430156248225
values,to,10s,0.5295908533015837,0.7087943244055084,0.17920347110392465
values,to,1min,0.5847486699508456,0.7386453193529671,0.15389664940212144
values,to,5min,0.6946073418175926,0.7957495465588591,0.10114220474126645
values,to,50ms,0.22490918458852915,0.5131549811133572,0.28824579652482807
values,to,100ms,0.21827421789610757,0.5087445918337894,0.2904703739376818
values,to,500ms,0.13419232483767107,0.4873921518325417,0.3531998269948706
values,to,1s,0.22217180646231605,0.5735450275776077,0.3513732211152917
values,to,5s,0.10439677052674712,0.46971226854554693,0.3653154980187998
values,to,10s,0.2659872383183236,0.5784354294261626,0.31244819110783895
values,to,1min,0.3197238526188123,0.49869417319214593,0.17897032057333362
values,to,5min,0.15645966652111232,0.3029478569429236,0.14648819042181127
values,to,50ms,0.5387106951203282,0.7564402335639505,0.2177295384436223
values,to,100ms,0.5383675671527552,0.7567325630706212,0.21836499591786596
values,to,500ms,0.5360239908636468,0.7548223225617887,0.2187983316981419
values,to,1s,0.5267848313598673,0.7491638548854164,0.22237902352554906
values,to,5s,0.5033086799210598,0.7467637832735836,0.24345510335252385
values,to,10s,0.5007898674353124,0.7234046182557203,0.22261475082040794
values,to,1min,0.4443370957955707,0.6909432192481468,0.24660612345257615
values,to,5min,0.4604243907884985,0.6843878897132797,0.22396349892478118
values,to,50ms,-0.05317628024781307,0.16208612629504138,0.21526240654285445
values,to,100ms,-0.04929191732582172,0.18190312150397658,0.2311950388297983
values,to,500ms,-0.08532146524960682,0.13115528014104194,0.21647674539064876
values,to,1s,-0.06401108780707454,0.16484884760273066,0.2288599354098052
values,to,5s,-0.11949507776658397,0.1219872806515988,0.24148235841818277
values,to,10s,-0.07153024374165606,0.11098539880588187,0.18251564254753794
values,to,1min,-0.15844075270461877,-0.007247244104482853,0.15119350860013592
values,to,5min,-0.12331746004199329,0.05662869796197556,0.17994615800396885
values,to,50ms,0.4266461095767502,0.6740658581795638,0.24741974860281357
values,to,100ms,0.4300455024569476,0.6754685524201884,0.24542304996324082
values,to,500ms,0.4427964924813551,0.6920613509517562,0.24926485847040114
values,to,1s,0.4963785650540663,0.727634512206707,0.23125594715264075
values,to,5s,0.44487060204922124,0.7094569592236843,0.2645863571744631
values,to,10s,0.4609697378183578,0.7132696898232691,0.2522999520049113
values,to,1min,0.39724837941914115,0.7609642247413841,0.363715845322243
values,to,5min,0.4816664964071202,0.6641761134468371,0.1825096170397169
values,to,50ms,0.24642703880460237,0.5603421145881127,0.3139150757835103
values,to,100ms,0.2465747525952422,0.5603087166587006,0.31373396406345844
values,to,500ms,0.24011172087607713,0.5379380668532904,0.29782634597721325
values,to,1s,0.24832584278990288,0.5349344777439512,0.2866086349540483
